192.168.8.173: 192.168.1.175
192.168.8.138: 192.168.1.139
192.168.8.160: 192.168.1.161
192.168.8.198: 192.168.1.199
192.168.8.154: 192.168.1.155
192.168.8.226: 192.168.1.228
192.168.8.174: 192.168.1.176
192.168.8.117: 192.168.1.118
192.168.8.190: 192.168.1.191
192.168.8.207: 192.168.1.210
192.168.8.244: 192.168.1.245
192.168.8.215: 192.168.1.216
192.168.8.105: 192.168.1.106
192.168.8.120: 192.168.1.121
192.168.8.123: N/A
192.168.8.201: 192.168.1.202
192.168.8.102: 192.168.1.103
192.168.8.171: 192.168.1.173
192.168.8.228: 192.168.1.229
192.168.8.204: 192.168.1.206
